"Source:"	"/home/moptim/elektronicks/kello-yritys2/kello-yritys2.sch"
"Date:"	"ke  5. helmikuuta 2020 20.32.08"
"Tool:"	"Eeschema 5.1.5-52549c5~84~ubuntu18.04.1"
"Component Count:"	"205"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"D37"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D38"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D39"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D40"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D41"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D42"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D43"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D44"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D45"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D46"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D47"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D48"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D49"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D50"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D51"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D52"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D53"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D54"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D55"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D56"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D57"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D58"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D59"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D60"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D61"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D62"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D63"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D64"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D65"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D66"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D67"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D68"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D69"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D70"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D71"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D72"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D73"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D74"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D75"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D76"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D77"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D78"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D79"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D80"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D81"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D82"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"J1"	"Conn_01x02_Male_To_Opto"	"Connector:Conn_01x02_Male"	"Resistor_SMD:R_1210_3225Metric"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J2"	"USB_B_Micro"	"Connector:USB_B_Micro"	""	"USB Micro Type B connector"	""
"J3"	"AVR-ISP-6"	"Connector:AVR-ISP-6"	"Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"	"Atmel 6-pin ISP connector"	""
"Q1"	"TEPT4400"	"Sensor_Optical:TEPT4400"	"LED_THT:LED_D3.0mm_Clear"	"Ambient Light Sensor, NPN Epitaxial Planar Phototransistor, T-1"	""
"Q2"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
